Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Board Approval Date,Project Closing Date,Financing Type,Current Project Cost,IBRD Commitment,IDA Commitment,Total IDA and IBRD Commitment,Grant Amount,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Theme 1,Theme 2
P006360,Latin America and Caribbean,Federative Republic of Brazil,Closed,Irrigation Sub-Sector Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006360,1988-06-09T00:00:00Z,1997-12-31T00:00:00Z,,,195000000.0,0.0,195000000.0,0,,Sector Investment and Maintenance Loan,C,,Renewable energy,Irrigation and Drainage,Central Government (Central Agencies),Other environment and natural resources management,Decentralization
P002073,Africa West,Federal Republic of Nigeria,Closed,Highway Sector Loan Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P002073,1988-06-16T00:00:00Z,1997-06-30T00:00:00Z,,,250000000.0,0.0,250000000.0,0,,Sector Investment and Maintenance Loan,C,,Roads and highways,,,Rural services and infrastructure,
P006361,Latin America and Caribbean,Federative Republic of Brazil,Closed,Agricultural Credit Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006361,1988-06-23T00:00:00Z,1993-12-31T00:00:00Z,,,300000000.0,0.0,300000000.0,0,,Financial Intermediary Loan,C,,(Historic)Agricultural credit,,,,
P004914,Middle East and North Africa,People's Democratic Republic of Algeria,Closed,Vocational Training Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004914,1988-06-24T00:00:00Z,1997-06-30T00:00:00Z,,,54000000.0,0.0,54000000.0,0,,Specific Investment Loan,C,,Workforce Development and Vocational Education,Central Government (Central Agencies),,Education for the knowledge economy,
P010313,South Asia,Islamic Republic of Pakistan,Closed,Private Sector Energy Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P010313,1988-06-29T00:00:00Z,1998-11-30T00:00:00Z,,,150000000.0,0.0,150000000.0,0,,Specific Investment Loan,C,,Power,Renewable Energy Biomass,Oil and Gas,Technology diffusion,Other financial and private sector development
P004904,Middle East and North Africa,People's Democratic Republic of Algeria,Closed,Power Project (03),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004904,1988-06-29T00:00:00Z,1997-06-30T00:00:00Z,,,160000000.0,0.0,160000000.0,0,,Specific Investment Loan,C,,Power,Central Government (Central Agencies),,State-owned enterprise restructuring and privatization,"Public expenditure, financial management and procurement"
P002082,Africa West,Federal Republic of Nigeria,Closed,Lagos State Water Supply Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P002082,1988-07-28T00:00:00Z,1997-12-31T00:00:00Z,,,173200000.0,0.0,173200000.0,0,,Specific Investment Loan,C,,Water Supply,"Other Water Supply, Sanitation and Waste Management",Other Transportation,Water resource management,Other urban development
P009973,South Asia,Republic of India,Closed,States' Road Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009973,1988-10-20T00:00:00Z,1998-06-30T00:00:00Z,,,170000000.0,80000000.0,250000000.0,0,,Specific Investment Loan,C,,Roads and highways,,,Other urban development,Infrastructure services for private sector development
P007199,Latin America and Caribbean,Republic of Guatemala,Closed,Basic Education Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007199,1988-12-06T00:00:00Z,1998-12-31T00:00:00Z,,,30000000.0,0.0,30000000.0,0,,Specific Investment Loan,C,,Primary Education,Tertiary Education,Central Government (Central Agencies),Education for all,Indigenous peoples
P007205,Latin America and Caribbean,Republic of Guatemala,Closed,Secondary and Regional Road Rehabilitation Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007205,1988-12-06T00:00:00Z,1999-12-31T00:00:00Z,,,31500000.0,0.0,31500000.0,0,,Specific Investment Loan,C,,Roads and highways,Central Government (Central Agencies),,Export development and competitiveness,Rural services and infrastructure
P006842,Latin America and Caribbean,Republic of Colombia,Closed,Subsector Primary Education Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006842,1988-12-20T00:00:00Z,1998-03-31T00:00:00Z,,,100000000.0,0.0,100000000.0,0,,Specific Investment Loan,C,,Primary Education,Central Government (Central Agencies),Tertiary Education,Education for all,Rural services and infrastructure
P006370,Latin America and Caribbean,Federative Republic of Brazil,Closed,Northeast Irrigation Jaiba,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006370,1988-12-22T00:00:00Z,2000-06-30T00:00:00Z,,,71000000.0,0.0,71000000.0,0,,Specific Investment Loan,C,,Irrigation and Drainage,"Agricultural Extension, Research, and Other Support Activities",Central Government (Central Agencies),Rural services and infrastructure,Improving labor markets
P008143,Latin America and Caribbean,Oriental Republic of Uruguay,Closed,Transport project (01),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008143,1989-02-07T00:00:00Z,1997-12-31T00:00:00Z,,,80800000.0,0.0,80800000.0,0,,Specific Investment Loan,C,,Roads and highways,Ports/Waterways,Central Government (Central Agencies),Other financial and private sector development,Regulation and competition policy
P009869,South Asia,Republic of India,Closed,Nathpa Jhakri Power Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009869,1989-03-02T00:00:00Z,2002-03-31T00:00:00Z,,,485000000.0,0.0,485000000.0,0,,Specific Investment Loan,C,,Power,Sub-National Government,,Other urban development,Municipal governance and institution building
P002091,Africa West,Federal Republic of Nigeria,Closed,Imo Health and Population Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P002091,1989-03-30T00:00:00Z,1997-06-30T00:00:00Z,,,27600000.0,0.0,27600000.0,0,,Specific Investment Loan,C,,Health,,,Health system performance,Social analysis and monitoring
P006414,Latin America and Caribbean,Federative Republic of Brazil,Closed,Sao Paulo Natural Gas Distribution Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006414,1989-04-25T00:00:00Z,1999-08-31T00:00:00Z,,,94000000.0,0.0,94000000.0,0,,Specific Investment Loan,C,,Oil and Gas,,,Pollution management and environmental health,Climate change
P009990,South Asia,Republic of India,Closed,Vocational Training Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009990,1989-04-27T00:00:00Z,1998-12-31T00:00:00Z,,,30000000.0,250000000.0,280000000.0,0,,Specific Investment Loan,C,,Workforce Development and Vocational Education,,,Education for the knowledge economy,
P009030,Europe and Central Asia,Republic of Turkey,Closed,Health Project (01),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009030,1989-05-11T00:00:00Z,1998-12-31T00:00:00Z,,,75000000.0,0.0,75000000.0,0,,Specific Investment Loan,C,,Health,,,Health system performance,Social analysis and monitoring
P039002,Europe and Central Asia,Republic of Croatia,Closed,Istria Water Supply & Sewerage Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P039002,1989-05-23T00:00:00Z,2000-06-30T00:00:00Z,,,28000000.0,0.0,28000000.0,0,,Specific Investment Loan,C,,Water Supply,,,Other urban development,Infrastructure services for private sector development
P003294,Africa East,Republic of Zimbabwe,Closed,Urban Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P003294,1989-06-01T00:00:00Z,1999-12-31T00:00:00Z,,,80000000.0,0.0,80000000.0,0,,Specific Investment Loan,C,,"Other Water Supply, Sanitation and Waste Management",Power,Social Protection,Municipal finance,Other financial and private sector development
P007693,Latin America and Caribbean,United Mexican States,Closed,Industrial Sector Policy Loan (ISPL) Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007693,1989-06-13T00:00:00Z,1991-06-30T00:00:00Z,,,500000000.0,0.0,500000000.0,0,,Sector Adjustment Loan,C,,(Historic)Business environment,,,,
P009941,South Asia,Republic of India,Closed,Maharashtra Power Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009941,1989-06-15T00:00:00Z,1998-12-31T00:00:00Z,,,400000000.0,0.0,400000000.0,0,,Specific Investment Loan,C,,Power,Sub-National Government,,Municipal governance and institution building,Other urban development
P003920,East Asia and Pacific,Republic of Indonesia,Closed,Power Sector Efficiency Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P003920,1989-06-22T00:00:00Z,1995-12-31T00:00:00Z,,,337000000.0,0.0,337000000.0,0,,Specific Investment Loan,C,,Power,ICT Infrastructure,,Rural services and infrastructure,Regulation and competition policy
P004917,Middle East and North Africa,People's Democratic Republic of Algeria,Closed,Ports Project (03),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004917,1989-06-29T00:00:00Z,1998-06-30T00:00:00Z,,,63000000.0,0.0,63000000.0,0,,Specific Investment Loan,C,,Ports/Waterways,,,Regulation and competition policy,Export development and competitiveness
P005295,Middle East and North Africa,Hashemite Kingdom of Jordan,Closed,Human Resources Development Sector Investment Loan Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005295,1989-06-29T00:00:00Z,1997-06-30T00:00:00Z,,,73000000.0,0.0,73000000.0,0,,Specific Investment Loan,C,,Central Government (Central Agencies),Tertiary Education,Workforce Development and Vocational Education,Education for the knowledge economy,Education for all
P006860,Latin America and Caribbean,Republic of Colombia,Closed,Small Scale Irrigation Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006860,1989-08-01T00:00:00Z,1997-12-31T00:00:00Z,,,78200000.0,0.0,78200000.0,0,,Specific Investment Loan,C,,Irrigation and Drainage,"Agricultural Extension, Research, and Other Support Activities",Central Government (Central Agencies),Improving labor markets,Other environment and natural resources management
P002125,Africa West,Federal Republic of Nigeria,Closed,Essential Drugs Program Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P002125,1989-10-17T00:00:00Z,1997-10-31T00:00:00Z,,,68100000.0,0.0,68100000.0,0,,Specific Investment Loan,C,,Health,Central Government (Central Agencies),Social Protection,Administrative and civil service reform,Other social development
P008133,Latin America and Caribbean,Oriental Republic of Uruguay,Closed,Agricultural Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008133,1989-10-31T00:00:00Z,1997-12-31T00:00:00Z,,,65000000.0,0.0,65000000.0,0,,Specific Investment Loan,C,,"Other Agriculture, Fishing and Forestry",Central Government (Central Agencies),,Administrative and civil service reform,Rural markets
P006403,Latin America and Caribbean,Federative Republic of Brazil,Closed,Northeast Basic Health Services Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006403,1989-11-30T00:00:00Z,1997-12-30T00:00:00Z,,,267000000.0,0.0,267000000.0,0,,Specific Investment Loan,C,,Health,Central Government (Central Agencies),,Decentralization,Child health
P005140,Middle East and North Africa,Arab Republic of Egypt,Closed,Engineering & Technical Education Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005140,1989-12-05T00:00:00Z,1998-12-31T00:00:00Z,,,30500000.0,0.0,30500000.0,0,,Specific Investment Loan,C,,Tertiary Education,Central Government (Central Agencies),,Education for the knowledge economy,
P007669,Latin America and Caribbean,United Mexican States,Closed,Low-Income Housing Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007669,1989-12-12T00:00:00Z,1995-06-30T00:00:00Z,,,350000000.0,0.0,350000000.0,0,,Specific Investment Loan,C,,Banking Institutions,Other Non-bank Financial Institutions,Housing Construction,Other urban development,Administrative and civil service reform
P009965,South Asia,Republic of India,Closed,Punjab Irrigation and Drainage Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009965,1989-12-14T00:00:00Z,1998-07-31T00:00:00Z,,,15000000.0,150000000.0,165000000.0,0,,Specific Investment Loan,B,,Irrigation and Drainage,Central Government (Central Agencies),,Pollution management and environmental health,Rural services and infrastructure
P009061,Europe and Central Asia,Republic of Turkey,Closed,Ankara Sewerage Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009061,1989-12-21T00:00:00Z,1999-02-28T00:00:00Z,,,173000000.0,0.0,173000000.0,0,,Specific Investment Loan,B,,Sewerage,"Other Water Supply, Sanitation and Waste Management",Other Transportation,Other human development,Pollution management and environmental health
P005437,Middle East and North Africa,Kingdom of Morocco,Closed,Forestry Development Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005437,1990-01-09T00:00:00Z,1998-06-30T00:00:00Z,,,49000000.0,0.0,49000000.0,0,,Specific Investment Loan,A,,Forestry,Irrigation and Drainage,Roads and highways,Biodiversity,Environmental policies and institutions
P003873,East Asia and Pacific,Republic of Indonesia,Closed,Secondary Education and Management Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P003873,1990-01-25T00:00:00Z,1997-12-31T00:00:00Z,,,154200000.0,0.0,154200000.0,0,,Specific Investment Loan,C,,Primary Education,Tertiary Education,Central Government (Central Agencies),Environmental policies and institutions,Education for the knowledge economy
P006473,Latin America and Caribbean,Federative Republic of Brazil,Closed,2nd Land Management Project - Santa Catarina,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006473,1990-01-30T00:00:00Z,1999-06-30T00:00:00Z,,,33000000.0,0.0,33000000.0,0,,Specific Investment Loan,D,,Sub-National Government,Central Government (Central Agencies),"Agricultural Extension, Research, and Other Support Activities",Land administration and management,Biodiversity
P008569,Europe and Central Asia,Republic of Poland,Closed,Industrial Export Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008569,1990-02-06T00:00:00Z,2000-06-30T00:00:00Z,,,260000000.0,0.0,260000000.0,0,,Specific Investment Loan,B,,"Other Industry, Trade and Services",Banking Institutions,,Macroeconomic management,Other financial and private sector development
P006453,Latin America and Caribbean,Federative Republic of Brazil,Closed,Northeast Irrigation Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006453,1990-02-20T00:00:00Z,2000-12-31T00:00:00Z,,,210000000.0,0.0,210000000.0,0,,Specific Investment Loan,C,,Irrigation and Drainage,Central Government (Central Agencies),,Land administration and management,
P006504,Latin America and Caribbean,Federative Republic of Brazil,Closed,ITAPARICA SUPPLEM,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006504,1990-02-20T00:00:00Z,,,,100000000.0,0.0,100000000.0,0,,Specific Investment Loan,D,,"Other Agriculture, Fishing and Forestry",Social Protection,Other Transportation,Other environment and natural resources management,Rural services and infrastructure
P005440,Middle East and North Africa,Kingdom of Morocco,Closed,Health Sector Investment Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005440,1990-02-20T00:00:00Z,1998-12-31T00:00:00Z,,,104000000.0,0.0,104000000.0,0,,Specific Investment Loan,C,,Health,,,Health system performance,Rural services and infrastructure
P006446,Latin America and Caribbean,Federative Republic of Brazil,Closed,National Environmental Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006446,1990-02-27T00:00:00Z,1998-12-31T00:00:00Z,,,117000000.0,0.0,117000000.0,0,,Specific Investment Loan,D,,Central Government (Central Agencies),"Other Agriculture, Fishing and Forestry",Sub-National Government,Law reform,Biodiversity
P009882,South Asia,Republic of India,Closed,Integrated Watershed Development (Hills) Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009882,1990-03-06T00:00:00Z,1999-03-31T00:00:00Z,,,13000000.0,75000000.0,88000000.0,0,,Specific Investment Loan,B,,Crops,Sub-National Government,"Agricultural Extension, Research, and Other Support Activities",Other rural development,Rural services and infrastructure
P008974,Europe and Central Asia,Republic of Turkey,Closed,TURKEY SECOND AGRICULTURE EXTENSION PROJECT,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008974,1990-03-13T00:00:00Z,1998-06-30T00:00:00Z,,,63000000.0,0.0,63000000.0,0,,Specific Investment Loan,C,,"Agricultural Extension, Research, and Other Support Activities",,,Rural services and infrastructure,
P003287,Africa East,Republic of Zimbabwe,Closed,Forest Resources Management & Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P003287,1990-03-22T00:00:00Z,1998-06-30T00:00:00Z,,,14500000.0,0.0,14500000.0,0,,Specific Investment Loan,B,,Forestry,,,Other financial and private sector development,Other environment and natural resources management
P009890,South Asia,Republic of India,Closed,Hyderabad Water Supply and Sanitation Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009890,1990-03-27T00:00:00Z,1998-03-31T00:00:00Z,,,10000000.0,79900000.0,89900000.0,0,,Specific Investment Loan,B,,Water Supply,Sewerage,Sub-National Government,Urban services and housing for the poor,
P000376,Africa West,Republic of Cameroon,Closed,National Agricultural Extension and Training Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P000376,1990-03-29T00:00:00Z,1998-12-31T00:00:00Z,,,21000000.0,0.0,21000000.0,0,,Specific Investment Loan,B,,"Agricultural Extension, Research, and Other Support Activities",,,Rural services and infrastructure,
P002143,Africa West,Federal Republic of Nigeria,Closed,National Seed and Quarantine Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P002143,1990-03-29T00:00:00Z,1997-06-30T00:00:00Z,,,14000000.0,0.0,14000000.0,0,,Specific Investment Loan,B,,"Other Agriculture, Fishing and Forestry",Central Government (Central Agencies),,Administrative and civil service reform,Other financial and private sector development
P003689,East Asia and Pacific,Republic of Fiji,Closed,Housing Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P003689,1990-04-17T00:00:00Z,1998-09-30T00:00:00Z,,,16200000.0,0.0,16200000.0,0,,Sector Investment and Maintenance Loan,B,,Housing Construction,Power,Roads and highways,Land administration and management,Regulation and competition policy
P009029,Europe and Central Asia,Republic of Turkey,Closed,National Education Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009029,1990-04-26T00:00:00Z,1999-06-30T00:00:00Z,,,90200000.0,0.0,90200000.0,0,,Specific Investment Loan,C,,Tertiary Education,Primary Education,Secondary Education,Social analysis and monitoring,Education for all
P009989,South Asia,Republic of India,Closed,Technician Education Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009989,1990-05-01T00:00:00Z,1998-09-30T00:00:00Z,,,25000000.0,235000000.0,260000000.0,0,,Specific Investment Loan,C,,Tertiary Education,Workforce Development and Vocational Education,Sub-National Government,Gender,Education for the knowledge economy
P009860,South Asia,Republic of India,Closed,Integrated Watershed Development Project - Plains,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009860,1990-05-15T00:00:00Z,1999-03-31T00:00:00Z,,,7000000.0,55000000.0,62000000.0,0,,Specific Investment Loan,B,,Crops,Forestry,"Other Agriculture, Fishing and Forestry",Land administration and management,Water resource management
P005149,Middle East and North Africa,Arab Republic of Egypt,Closed,Pumping Stations Rehabilitation Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005149,1990-05-15T00:00:00Z,1998-09-15T00:00:00Z,,,31000000.0,0.0,31000000.0,0,,Sector Investment and Maintenance Loan,B,,Irrigation and Drainage,,,Pollution management and environmental health,Rural services and infrastructure
P009940,South Asia,Republic of India,Closed,Population Project (07),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009940,1990-05-17T00:00:00Z,1998-06-30T00:00:00Z,,,10000000.0,86700000.0,96700000.0,0,,Specific Investment Loan,C,,Health,Sub-National Government,,Population and reproductive health,Child health
P006961,Latin America and Caribbean,Caribbean,Closed,Caribbean Development Bank Project (05),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006961,1990-05-22T00:00:00Z,1998-12-31T00:00:00Z,,,20000000.0,12000000.0,32000000.0,0,,Financial Intermediary Loan,B,,Power,"Other Agriculture, Fishing and Forestry","Other Industry, Trade and Services",Other financial and private sector development,
P006926,Latin America and Caribbean,Republic of Costa Rica,Closed,TRANSPORT SECTOR INVESTMENT,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006926,1990-05-24T00:00:00Z,2001-06-30T00:00:00Z,,,60000000.0,0.0,60000000.0,0,,Sector Investment and Maintenance Loan,B,,Roads and highways,Ports/Waterways,Central Government (Central Agencies),Other financial and private sector development,Infrastructure services for private sector development
P004552,East Asia and Pacific,Republic of the Philippines,Closed,Small Coconut Farms Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004552,1990-05-24T00:00:00Z,1999-12-31T00:00:00Z,,,121800000.0,0.0,121800000.0,0,,Specific Investment Loan,B,,Crops,Central Government (Central Agencies),"Agricultural Extension, Research, and Other Support Activities",Export development and competitiveness,Rural markets
P003960,East Asia and Pacific,Republic of Indonesia,Closed,Gas Utilization Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P003960,1990-05-31T00:00:00Z,1999-03-31T00:00:00Z,,,86000000.0,0.0,86000000.0,0,,Specific Investment Loan,B,,Oil and Gas,Central Government (Central Agencies),,Law reform,Regulation and competition policy
P008568,Europe and Central Asia,Republic of Poland,Closed,Energy Resources Develpment Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008568,1990-06-05T00:00:00Z,1998-06-30T00:00:00Z,,,250000000.0,0.0,250000000.0,0,,Sector Investment and Maintenance Loan,B,,Oil and Gas,,,Export development and competitiveness,Debt management and fiscal sustainability
P008146,Latin America and Caribbean,Oriental Republic of Uruguay,Closed,Power Modernization Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008146,1990-06-07T00:00:00Z,1999-06-30T00:00:00Z,,,62500000.0,0.0,62500000.0,0,,Specific Investment Loan,B,,Power,,,Other public sector governance,Other urban development
P008216,Latin America and Caribbean,Republica Bolivariana de Venezuela,Closed,Technical Assistance for Pre-investment and Institutional Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008216,1990-06-12T00:00:00Z,2000-06-30T00:00:00Z,,,30000000.0,0.0,30000000.0,0,,Technical Assistance Loan,C,,Central Government (Central Agencies),,,State-owned enterprise restructuring and privatization,Administrative and civil service reform
P009982,South Asia,Republic of India,Closed,Northern Region Transmission Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009982,1990-06-26T00:00:00Z,2000-09-30T00:00:00Z,,,485000000.0,0.0,485000000.0,0,,Specific Investment Loan,B,,Power,,,Other urban development,Rural services and infrastructure
P002074,Africa West,Federal Republic of Nigeria,Closed,Oyo State Urban Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P002074,1990-06-26T00:00:00Z,1999-06-30T00:00:00Z,,,50000000.0,0.0,50000000.0,0,,Specific Investment Loan,C,,Sub-National Government,Waste Management,"Other Water Supply, Sanitation and Waste Management",Natural disaster management,Infrastructure services for private sector development
